品种,批发市场,最高价,最低价,大宗价,单位,提取时间
桃子,山西太原丈子头农产品物流园（原城东利民）,5.6,5.1,5.4,元/公斤,2025-9-16 17:50
面粉,山西太原丈子头农产品物流园（原城东利民）,4.5,4,4.4,元/公斤,2025-9-16 17:50
哈密瓜,山西太原丈子头农产品物流园（原城东利民）,4.1,3.6,3.9,元/公斤,2025-9-16 17:50
西瓜,山西太原丈子头农产品物流园（原城东利民）,2.6,2.1,2.4,元/公斤,2025-9-16 17:50
山竹,山西太原丈子头农产品物流园（原城东利民）,24,22,23.3,元/公斤,2025-9-16 17:50
榴莲,山西太原丈子头农产品物流园（原城东利民）,40,35,37,元/公斤,2025-9-16 17:50
火龙果,山西太原丈子头农产品物流园（原城东利民）,6,5.5,5.8,元/公斤,2025-9-16 17:50
芒果,山西太原丈子头农产品物流园（原城东利民）,9.1,8,8.6,元/公斤,2025-9-16 17:50
荔枝,山西太原丈子头农产品物流园（原城东利民）,14,12.1,13.2,元/公斤,2025-9-16 17:50
菠萝,山西太原丈子头农产品物流园（原城东利民）,10.2,9,9.6,元/公斤,2025-9-16 17:50
香蕉,山西太原丈子头农产品物流园（原城东利民）,4,3.2,3.4,元/公斤,2025-9-16 17:50
黄瓜,山西太原丈子头农产品物流园（原城东利民）,7,5.8,6.2,元/公斤,2025-9-16 17:50
茄子,山西太原丈子头农产品物流园（原城东利民）,3.8,3.2,3.6,元/公斤,2025-9-16 17:50
青椒,山西太原丈子头农产品物流园（原城东利民）,5.6,5.2,5.3,元/公斤,2025-9-16 17:50
尖椒,山西太原丈子头农产品物流园（原城东利民）,5.8,4.6,5,元/公斤,2025-9-16 17:50
西红柿,山西太原丈子头农产品物流园（原城东利民）,4,3.4,3.6,元/公斤,2025-9-16 17:50
西兰花,山西太原丈子头农产品物流园（原城东利民）,12.2,10,11.3,元/公斤,2025-9-16 17:50
菜花,山西太原丈子头农产品物流园（原城东利民）,7,5.8,6.3,元/公斤,2025-9-16 17:50
蒜薹,山西太原丈子头农产品物流园（原城东利民）,7,6.2,6.7,元/公斤,2025-9-16 17:50
莲藕,山西太原丈子头农产品物流园（原城东利民）,6.2,5,5.7,元/公斤,2025-9-16 17:50
莴笋,山西太原丈子头农产品物流园（原城东利民）,5,4.2,4.7,元/公斤,2025-9-16 17:50
芹菜,山西太原丈子头农产品物流园（原城东利民）,4.2,3.6,4,元/公斤,2025-9-16 17:50
大蒜,山西太原丈子头农产品物流园（原城东利民）,10,8.2,9.32,元/公斤,2025-9-16 17:50
生姜,山西太原丈子头农产品物流园（原城东利民）,9.2,8,8.7,元/公斤,2025-9-16 17:50
大葱,山西太原丈子头农产品物流园（原城东利民）,3,2.6,2.8,元/公斤,2025-9-16 17:50
葱头,山西太原丈子头农产品物流园（原城东利民）,1.8,1.3,1.6,元/公斤,2025-9-16 17:50
山药,山西太原丈子头农产品物流园（原城东利民）,7,6.2,6.7,元/公斤,2025-9-16 17:50
土豆,山西太原丈子头农产品物流园（原城东利民）,2.2,1.6,2,元/公斤,2025-9-16 17:50
胡萝卜,山西太原丈子头农产品物流园（原城东利民）,2,1.6,1.8,元/公斤,2025-9-16 17:50
韭菜,山西太原丈子头农产品物流园（原城东利民）,6,5.1,5.6,元/公斤,2025-9-16 17:50
油麦菜,山西太原丈子头农产品物流园（原城东利民）,10.1,9,9.6,元/公斤,2025-9-16 17:50
